task,rank,raw_scaling_exponent,useful_scaling_exponent,marginal_scaling_gain,test_mse,high_low_ratio,bound_proxy,useful_score,plateau_rank,plateau_flag
sparse,1,0.29044943820224717,0.4739682262689674,0.6515505617977528,0.8990322952881822,0.36337900980565485,0.8953263022673468,0.9632638711115342,4,0
sparse,2,0.25493827160493826,0.3398748780120434,0.13409334825692398,0.49142749649368866,0.47282666428950554,0.4895182321536092,0.5087264004271174,4,0
sparse,3,0.25493827160493826,0.3014564905093906,0.03841838750265281,0.3185188220169677,0.49084326155259933,0.320975129728339,0.3223712903244679,4,0
sparse,4,0.29044943820224717,0.2904494382022471,0.011007052307143494,0.25560522077117315,0.47775181184522014,0.2586516161357254,0.25560522077117315,4,1
sparse,5,0.34523809523809523,0.29044943820224717,1e-05,0.26024288243989496,0.45447636896637644,0.2595258158129356,0.26024288243989496,4,1
sparse,6,0.41493798449612407,0.29044943820224717,1e-05,0.2792827807337348,0.4275799856484324,0.2760616731680103,0.2792827807337348,4,1
sparse,7,0.4755010938048017,0.29044943820224717,1e-05,0.2902800663656685,0.39946820227065544,0.2892828839833268,0.2902800663656685,4,1
sparse,8,0.5257383998342872,0.29044943820224717,1e-05,0.29534984926949265,0.37120873777918695,0.29785841432732796,0.29534984926949265,4,1
sparse,9,0.5667545730664988,0.29044943820224717,1e-05,0.30109900506424747,0.34338453798050445,0.3033401332522446,0.30109900506424747,4,1
sparse,10,0.6004190621769657,0.29044943820224717,1e-05,0.30814473276644316,0.3163646499722793,0.30694425551836707,0.30814473276644316,4,1
sparse,11,0.6284839193534069,0.29044943820224717,1e-05,0.312141644351395,0.2903991207946492,0.3094006111172989,0.312141644351395,4,1
sparse,12,0.652346225836723,0.29044943820224717,1e-05,0.31142606688661223,0.2656585699321834,0.3111348407993164,0.31142606688661223,4,1
sparse,13,0.6730539037316051,0.29044943820224717,1e-05,0.3099549986398292,0.2422548893223803,0.3124000618312355,0.3099549986398292,4,1
sparse,14,0.6913756067325151,0.29044943820224717,1e-05,0.3118004149214825,0.22025450453803422,0.3133512683122679,0.3118004149214825,4,1
sparse,15,0.7078725995921709,0.29044943820224717,1e-05,0.31560006769254795,0.19968805473953158,0.31408621801824893,0.31560006769254795,4,1
sparse,16,0.7229564560536687,0.29044943820224717,1e-05,0.31693365923642436,0.18055796243092842,0.3146683050069677,0.31693365923642436,4,1
sparse,17,0.736931591574639,0.29044943820224717,1e-05,0.31488105400237454,0.1628445561709858,0.31513971256290807,0.31488105400237454,4,1
sparse,18,0.750025582916356,0.29044943820224717,1e-05,0.3132340380012334,0.14651110341552356,0.3155291904619791,0.3132340380012334,4,1
sparse,19,0.7624105368731534,0.29044943820224717,1e-05,0.31490368159570176,0.13150797680964374,0.3158567745867773,0.31490368159570176,4,1
sparse,20,0.774218142330687,0.29044943820224717,1e-05,0.31783129486906253,0.11777610932728759,0.3161367205346634,0.31783129486906253,4,1
sparse,21,0.7855503269198418,0.29044943820224717,1e-05,0.3181779072022593,0.10524985458323913,0.3163793682879215,0.3181779072022593,4,1
sparse,22,0.7964868627708134,0.29044943820224717,1e-05,0.31591162928413685,0.09385934391580984,0.31659235260729474,0.31591162928413685,4,1
sparse,23,0.8070908469575984,0.29044943820224717,1e-05,0.3147012064958933,0.08353241501180299,0.3167814044764429,0.3147012064958933,4,1
sparse,24,0.8174126911607658,0.29044943820224717,1e-05,0.3165136417430675,0.07419617470033897,0.316950891825304,0.3165136417430675,4,1
sparse,25,0.8274930565302767,0.29044943820224717,1e-05,0.31887193172135453,0.06577824932313502,0.3171041908742629,0.31887193172135453,4,1
sparse,26,0.8373650350650327,0.29044943820224717,1e-05,0.31859124181429704,0.05820776878005955,0.3172439454491897,0.31859124181429704,4,1
sparse,27,0.847055787391074,0.29044943820224717,1e-05,0.31637943896343157,0.05141612433979441,0.3173722509251237,0.31637943896343157,4,1
sparse,28,0.8565877844353368,0.29044943820224717,1e-05,0.3156732013058056,0.045337535220025434,0.3174907866350014,0.3156732013058056,4,1
sparse,29,0.8659797576270805,0.29044943820224717,1e-05,0.3176025572339001,0.039909454543359,0.3176009124990747,0.3176025572339001,4,1
sparse,30,0.8752474325632059,0.29044943820224717,1e-05,0.3194560957013238,0.035072841412839,0.3177037404535345,0.3194560957013238,4,1
sparse,31,0.8844041003178853,0.29044943820224717,1e-05,0.31871936666749984,0.030772322425559436,0.3178001878872787,0.31871936666749984,4,1
sparse,32,0.8934610659367521,0.29044943820224717,1e-05,0.31668328012248803,0.026956262887784962,0.31789101806922077,0.31668328012248803,4,1
sparse,33,0.902428003234308,0.29044943820224717,1e-05,0.31645439141619014,0.023576765263499815,0.31797687105585465,0.31645439141619014,4,1
sparse,34,0.9113132375270521,0.29044943820224717,1e-05,0.31842436766640597,0.020589609945942108,0.31805828755422255,0.31842436766640597,4,1
sparse,35,0.9201239725094088,0.29044943820224717,1e-05,0.31980004563743536,0.017954151261455168,0.31813572751674907,0.31980004563743536,4,1
sparse,36,0.9288664735135079,0.29044943820224717,1e-05,0.31873131674267713,0.015633179674451467,0.31820958475726324,0.31873131674267713,4,1
sparse,37,0.937546216470402,0.29044943820224717,1e-05,0.3169441914619827,0.013592759441746536,0.318280198533866,0.3169441914619827,4,1
sparse,38,0.9461680097179452,0.29044943820224717,1e-05,0.3171392784875872,0.011802049446007393,0.31834786279915633,0.3171392784875872,4,1
sparse,39,0.9547360941737739,0.29044943820224717,1e-05,0.31907060368246437,0.01023311360473702,0.31841283364161627,0.31907060368246437,4,1
sparse,40,0.9632542261645091,0.29044943820224717,1e-05,0.3199932239164421,0.008860726087081145,0.31847533531330285,0.3199932239164421,4,1
sparse,41,0.9717257462697388,0.29044943820224717,1e-05,0.31869749033258976,0.007662175560504625,0.31853556514444387,0.31869749033258976,4,1
sparse,42,0.9801536368258474,0.29044943820224717,1e-05,0.3172064556971098,0.00661707181842514,0.3185936975754343,0.3172064556971098,4,1
sparse,43,0.9885405701853054,0.29044943820224717,1e-05,0.31776146792844334,0.005707157394292311,0.3186498874843068,0.31776146792844334,4,1
sparse,44,0.996888949401205,0.29044943820224717,1e-05,0.3195828909763114,0.0049161261341779455,0.31870427294823983,0.3195828909763114,4,1
sparse,45,1.0052009426748332,0.29044943820224717,1e-05,0.3200833571516082,0.004229450166296359,0.31875697754765764,0.3200833571516082,4,1
sparse,46,1.0134785126436945,0.29044943820224717,1e-05,0.3186538595480192,0.003634216260421649,0.3188081122985174,0.3186538595480192,4,1
sparse,47,1.021723441382096,0.29044943820224717,1e-05,0.31748686287310535,0.0031189722021750985,0.3188577772806961,0.31748686287310535,4,1
sparse,48,1.029937351823604,0.29044943820224717,1e-05,0.3183327007365121,0.002673583506742737,0.3189060630166743,0.3183327007365121,4,1
sparse,49,1.0381217261849782,0.29044943820224717,1e-05,0.319984312070392,0.002289100554729199,0.318953051644018,0.319984312070392,4,1
sparse,50,1.0462779218672913,0.29044943820224717,1e-05,0.32010125615607726,0.0019576360413790044,0.3189988179167571,0.32010125615607726,4,1
